cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_4997,0,0,85,0,90,0,0,,,
CV_0816,82,85,75,80,70,60,85,"Thandi Molefe has a strong background in finance and technology, with relevant experience in digital transformation for financial institutions. Her educational qualifications from reputable universities enhance her profile, though there is limited evidence of direct leadership experience and cultural fit.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Educational background,Engagement & Communication Skills; Leadership; Culture
CV_6769,0,0,90,70,80,50,70,"The candidate has strong leadership and communication skills, as well as project management experience. However, there is no evidence of domain-specific finance knowledge or technical skills in data analysis, SQL, or Python. Their educational background is solid but not directly related to finance.",Strong leadership and team-building skills; Excellent communication and interpersonal skills; Proficient in project management software,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Culture
CV_3807_edge_case,30,40,85,50,40,70,85,"Nadia has a strong background in social media marketing with significant experience in engagement and communication skills. She has recently completed an MBA, which enhances her educational background, but lacks direct experience in finance and technical skills relevant to fintech consulting. Her leadership and project delivery skills are somewhat evident but not strongly supported by the provided evidence.",Engagement & Communication Skills; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_3807,0,0,90,0,0,70,85,"Nadia has extensive experience in social media marketing and a recent MBA from UCT, indicating a strong educational background. However, there is no evidence of domain knowledge in finance or technical skills relevant to the financial consultant role. Her strong engagement and communication skills are evident from her experience in managing social teams and translating analytics into insights.",MBA from UCT; Experience in managing social teams; Strong engagement and communication skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership
CV_9742,0,0,85,70,60,75,0,,,
CV_6880,85,70,80,75,80,70,70,"Mignon Dlomo is an experienced financial manager with a strong background in accounting and financial operations. She demonstrates solid leadership skills and a collaborative approach, though specific technical skills in data analysis and programming are not highlighted. Her educational background suggests a competent foundation in finance, but details are lacking.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery; Leadership,Technical & Analytical Skills; Culture; Educational background
CV_2973,60,30,85,70,50,40,80,"Lillian Roberts has a solid background in commercial law with experience in finance-related sectors. Her strong communication skills and educational achievements from a reputable university are notable, but she lacks specific financial consulting experience and technical skills relevant to data analysis and programming.",Engagement & Communication Skills; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_7099,0,40,80,60,50,50,70,,,
CV_9633,0,0,85,0,70,0,0,,,
CV_3587,0,0,0,0,0,0,0,,,
CV_9202,0,0,80,0,0,0,0,,,
CV_7343,0,40,50,30,20,30,30,,,
CV_0902,0,20,60,0,0,30,50,,,
CV_7874,0,0,80,70,60,50,0,,,
CV_0457,0,0,0,0,0,0,60,,,
CV_5171,60,50,70,65,75,60,70,"Charlene has significant experience in healthcare operations and financial oversight, demonstrating strong leadership and project delivery skills. However, her technical and analytical skills appear limited, and there is no specific mention of finance knowledge or relevant educational background in finance or consulting.",Leadership; Project Delivery; Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Culture; Educational background
CV_2887,0,85,80,70,60,50,0,,,
CV_4442,0,0,80,0,0,70,50,,,
CV_1775,0,20,60,50,40,30,80,,,
CV_2599,0,0,90,0,0,0,70,,,
CV_1961,0,0,0,0,0,0,50,,,
CV_6914,0,0,0,0,0,0,0,,,
CV_1094,0,0,0,0,0,0,50,,,
CV_0780,0,0,90,0,80,0,70,"The candidate demonstrates strong engagement and communication skills through extensive patient interaction and team collaboration. Leadership abilities are evident from their role as a Unit Manager, but there is no relevant experience in finance or technical skills related to the role. Educational background is solid but not directly aligned with the financial consulting position.",Engagement & Communication Skills; Leadership,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Culture; Educational background
CV_2236,0,0,0,0,0,0,0,,,
CV_6099,0,0,0,0,0,0,50,,,
CV_3179,0,0,90,0,0,0,60,"Aliyah Naidoo has a strong background in nursing with excellent engagement and communication skills demonstrated through her experience in patient care. However, there is no relevant experience or skills in finance, technical analysis, project delivery, or leadership roles. Her educational background is solid but not related to finance or consulting.",Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture; Educational background in finance or related fields
CV_5436,0,0,80,0,0,0,85,"Nelebogo Mohlala has a strong educational background with a Bachelor of Occupational Therapy from a reputable university. However, there is no relevant experience or skills related to finance, technical analysis, or project delivery, which are critical for the financial consultant role.",Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Leadership; Culture
CV_6731,0,0,0,0,0,0,0,,,
CV_6671,0,0,0,0,0,0,0,"The candidate has extensive experience in physiotherapy but lacks relevant financial consulting experience and skills. There is no evidence of technical abilities in data analysis, SQL, or Python, nor any indication of engagement in finance-related projects or leadership roles.",,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Leadership; Culture; Educational background
CV_5214,0,20,70,60,50,30,80,"Siyanda Botha has a strong educational background with degrees from Stellenbosch University, but lacks relevant experience in finance or banking. While she demonstrates good engagement and communication skills through client consultation, her technical skills are primarily in horticulture rather than financial analysis or modeling.",Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_2522,0,0,80,0,70,0,70,,,
CV_5806,0,0,90,0,80,0,60,,,
CV_8571,0,70,60,70,0,0,0,,,
CV_1521,70,80,75,60,50,55,85,"Tumelo Naude is an Agricultural Economist with strong analytical skills and a solid educational background in Agricultural Economics. While he demonstrates good technical abilities and engagement skills, there is limited evidence of direct experience in finance or leadership roles. His cultural fit may be moderate due to a focus on agricultural sectors rather than broader financial environments.",Analytical skills; Educational background,Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery; Leadership; Culture
CV_5756,0,0,85,75,0,70,70,,,
